Run,Seed,AUC
0,436858,0.7903970452446907
1,768277,0.8522622345337028
2,10664,0.8051708217913204
3,860016,0.7959372114496768
4,865292,0.8190212373037857
5,841848,0.8328716528162512
6,313147,0.8568790397045245
7,896678,0.8097876269621421
8,386308,0.868882733148661
9,977048,0.8559556786703602
Average,NA,0.8559556786703602
