Feature,LOOCV AUC
shortB462,0.7398097826086957
longA462,0.6827445652173914
shortB172,0.6691576086956522
shortB330,0.6691576086956521
shortB175,0.6684782608695652
shortB138,0.6671195652173914
shortB108,0.6664402173913043
shortB490,0.6657608695652174
shortB492,0.6644021739130435
shortB383,0.6644021739130435
shortB457,0.6637228260869565
shortB181,0.6630434782608696
shortB219,0.6630434782608695
shortB76,0.6623641304347827
shortB535,0.6623641304347826
shortB530,0.6623641304347826
shortB136,0.6616847826086957
shortB162,0.6610054347826086
shortB401,0.6603260869565218
shortB488,0.6603260869565217
shortB232,0.6596467391304348
shortB461,0.6596467391304348
shortB171,0.6596467391304348
shortB519,0.6589673913043479
shortB468,0.6589673913043479
shortB222,0.6582880434782608
shortB253,0.656929347826087
shortB283,0.6569293478260869
shortB180,0.6569293478260869
shortB521,0.65625
shortB4,0.65625
shortB174,0.65625
shortB190,0.65625
shortB508,0.65625
shortB481,0.6555706521739131
shortB153,0.6548913043478262
shortB270,0.654891304347826
shortB421,0.654891304347826
shortB413,0.654891304347826
shortB525,0.6542119565217392
shortB356,0.6542119565217391
shortB469,0.6542119565217391
shortB68,0.6542119565217391
shortB254,0.6542119565217391
shortB86,0.6535326086956522
shortB282,0.6535326086956522
shortB418,0.6535326086956521
shortB278,0.6528532608695652
shortB331,0.6521739130434783
shortB91,0.6521739130434783
shortB139,0.6521739130434783
shortB46,0.6521739130434783
shortB251,0.6521739130434783
shortB408,0.6521739130434783
shortB154,0.6521739130434783
shortB132,0.6514945652173914
shortB312,0.6514945652173914
shortB6,0.6514945652173914
shortB234,0.6514945652173914
shortB279,0.6514945652173914
shortB199,0.6514945652173914
shortB458,0.6514945652173912
shortB360,0.6514945652173912
shortB493,0.6508152173913043
shortB204,0.6508152173913043
shortB182,0.6508152173913043
shortB265,0.6501358695652174
shortB460,0.6501358695652174
shortB220,0.6501358695652174
shortB398,0.6501358695652174
shortB496,0.6501358695652174
shortB370,0.6501358695652174
shortB477,0.6501358695652174
shortB427,0.6501358695652173
shortB61,0.6494565217391305
shortB248,0.6494565217391304
shortB359,0.6494565217391304
shortB308,0.6494565217391304
shortB183,0.6494565217391304
shortB186,0.6487771739130435
shortB382,0.6487771739130435
shortB137,0.6487771739130435
shortB516,0.6487771739130435
shortB336,0.6487771739130435
shortB165,0.6487771739130435
shortB300,0.6487771739130435
shortB123,0.6480978260869565
shortB281,0.6480978260869565
shortB21,0.6480978260869565
shortB309,0.6480978260869565
shortB474,0.6480978260869565
shortB72,0.6480978260869565
shortB353,0.6474184782608696
shortB368,0.6474184782608696
shortB409,0.6474184782608696
shortB450,0.6474184782608696
shortB501,0.6474184782608696
shortB280,0.6474184782608696
shortB313,0.6474184782608696
shortB365,0.6474184782608696
shortB459,0.6474184782608695
shortB168,0.6474184782608695
shortB128,0.6474184782608695
shortB17,0.6474184782608695
shortB228,0.6467391304347827
shortB454,0.6467391304347826
shortB167,0.6467391304347826
shortB499,0.6467391304347826
shortB250,0.6467391304347826
shortB242,0.6467391304347826
shortB511,0.6467391304347826
shortB385,0.6467391304347826
shortB509,0.6467391304347826
shortB318,0.6467391304347826
shortB184,0.6467391304347826
shortB94,0.6460597826086957
shortB157,0.6460597826086957
shortB8,0.6460597826086957
shortB388,0.6460597826086957
shortB197,0.6460597826086956
shortB156,0.6460597826086956
shortB526,0.6460597826086956
shortB491,0.6460597826086956
shortB415,0.6453804347826086
shortB435,0.6453804347826086
shortB341,0.6453804347826086
shortB272,0.6453804347826086
shortB125,0.6453804347826086
shortB510,0.6447010869565217
shortB306,0.6447010869565217
shortB240,0.6447010869565217
shortB539,0.6447010869565217
shortB299,0.6447010869565217
shortB522,0.6440217391304348
shortB259,0.6440217391304348
shortB65,0.6440217391304348
shortB26,0.6440217391304348
shortB320,0.6440217391304348
shortB140,0.6440217391304348
shortB112,0.6440217391304347
shortB405,0.6433423913043478
shortB403,0.6433423913043478
shortB236,0.6433423913043478
shortB142,0.6433423913043478
shortB531,0.642663043478261
shortB414,0.6426630434782609
shortB80,0.6426630434782609
shortB247,0.6426630434782609
shortB512,0.6426630434782609
shortB346,0.6426630434782609
shortB369,0.6426630434782608
shortB176,0.6426630434782608
shortB323,0.641983695652174
shortB386,0.641983695652174
shortB89,0.641983695652174
shortB425,0.641983695652174
shortB532,0.641983695652174
shortB102,0.6419836956521738
shortB192,0.6419836956521738
shortB315,0.6419836956521738
shortB15,0.6419836956521738
shortB124,0.6419836956521738
shortB239,0.6419836956521738
shortB420,0.6419836956521738
shortB361,0.6413043478260869
shortB524,0.6413043478260869
shortB332,0.6413043478260869
shortB221,0.6413043478260869
shortB494,0.6413043478260869
shortB255,0.6413043478260869
shortB118,0.6413043478260869
shortB159,0.6413043478260869
shortB62,0.6413043478260869
shortB189,0.640625
shortB304,0.640625
shortB287,0.640625
shortB354,0.640625
shortB389,0.640625
shortB513,0.640625
shortB541,0.640625
shortB379,0.6399456521739131
shortB231,0.6399456521739131
shortB417,0.6399456521739131
shortB271,0.6399456521739131
shortB245,0.6399456521739131
shortB366,0.6399456521739131
shortB434,0.6399456521739131
shortB338,0.639945652173913
shortB357,0.6392663043478262
shortB59,0.6392663043478262
shortB319,0.6392663043478262
shortB345,0.6392663043478262
shortB426,0.6392663043478262
shortB238,0.639266304347826
shortB22,0.639266304347826
shortB351,0.6385869565217392
shortB441,0.6385869565217392
shortB443,0.6385869565217392
shortB411,0.6385869565217391
shortB302,0.6385869565217391
shortB397,0.6385869565217391
shortB428,0.6385869565217391
shortB297,0.6385869565217391
shortB291,0.6385869565217391
shortB298,0.6385869565217391
shortB505,0.638586956521739
shortB533,0.6379076086956522
shortB514,0.6379076086956522
shortB296,0.6379076086956522
shortB393,0.6379076086956522
shortB205,0.6379076086956522
shortB347,0.6379076086956522
shortB436,0.6379076086956522
shortB431,0.6379076086956521
shortB84,0.6379076086956521
shortB209,0.6379076086956521
shortB419,0.6379076086956521
shortB141,0.6379076086956521
shortB158,0.6379076086956521
shortB473,0.6379076086956521
shortB188,0.6372282608695653
shortB111,0.6372282608695652
shortB18,0.6372282608695652
shortB314,0.6372282608695652
shortB64,0.6372282608695652
shortB274,0.6372282608695652
shortB150,0.6372282608695652
shortB42,0.6372282608695652
shortB155,0.6372282608695652
shortB34,0.6365489130434783
shortB538,0.6365489130434783
shortB412,0.6365489130434783
shortB395,0.6365489130434783
shortB442,0.6365489130434783
shortB350,0.6365489130434783
shortB390,0.6365489130434783
shortB375,0.6365489130434783
shortB7,0.6365489130434783
shortB372,0.6365489130434783
shortB515,0.6365489130434783
shortB96,0.6365489130434783
shortB213,0.6365489130434783
shortB246,0.6365489130434783
shortB164,0.6365489130434783
shortB252,0.6365489130434783
shortB193,0.6358695652173914
shortB235,0.6358695652173914
shortB196,0.6358695652173914
shortB54,0.6358695652173914
shortB367,0.6358695652173914
shortB55,0.6358695652173914
shortB134,0.6358695652173914
shortB305,0.6358695652173914
shortB262,0.6358695652173914
shortB328,0.6358695652173914
shortB243,0.6358695652173912
shortB335,0.6351902173913044
shortB498,0.6351902173913044
shortB226,0.6351902173913043
shortB348,0.6351902173913043
shortB301,0.6351902173913043
shortB470,0.6351902173913043
shortB307,0.6351902173913043
shortB472,0.6351902173913043
shortB294,0.6345108695652175
shortB67,0.6345108695652174
shortB295,0.6345108695652174
shortB103,0.6345108695652174
shortB144,0.6345108695652174
shortB440,0.6345108695652174
shortB81,0.6345108695652174
shortB273,0.6345108695652174
shortB85,0.6345108695652173
shortB355,0.6345108695652173
shortB467,0.6345108695652173
shortB36,0.6338315217391305
shortB69,0.6338315217391305
shortB130,0.6338315217391305
shortB113,0.6338315217391304
shortB288,0.6338315217391304
shortB438,0.6338315217391304
shortB484,0.6338315217391304
shortB170,0.6338315217391304
shortB432,0.6338315217391304
shortB127,0.6331521739130436
shortB340,0.6331521739130436
shortB202,0.6331521739130435
shortB429,0.6331521739130435
shortB387,0.6331521739130435
shortB92,0.6331521739130435
shortB88,0.6331521739130435
shortB381,0.6331521739130435
shortB483,0.6331521739130435
shortB518,0.6331521739130435
shortB135,0.6331521739130435
shortB10,0.6324728260869565
shortB489,0.6324728260869565
shortB131,0.6324728260869565
shortB39,0.6324728260869565
shortB99,0.6324728260869565
shortB145,0.6324728260869565
shortB503,0.6324728260869565
shortB362,0.6317934782608696
shortB187,0.6317934782608696
shortB290,0.6317934782608696
shortB504,0.6317934782608696
shortB31,0.6317934782608696
shortB452,0.6317934782608696
shortB223,0.6317934782608696
shortB476,0.6317934782608696
shortB479,0.6317934782608696
shortB447,0.6317934782608696
shortB310,0.6317934782608695
shortB311,0.6317934782608695
shortB114,0.6317934782608695
shortB230,0.6317934782608695
shortB364,0.6317934782608695
shortB16,0.6317934782608695
shortB396,0.6311141304347827
shortB120,0.6311141304347826
shortB444,0.6311141304347826
shortB495,0.6311141304347826
shortB437,0.6311141304347826
shortB98,0.6311141304347826
shortB344,0.6311141304347826
shortB53,0.6311141304347826
shortB276,0.6311141304347826
shortB115,0.6311141304347826
shortB203,0.6311141304347826
shortB191,0.6311141304347826
shortB185,0.6311141304347826
shortB43,0.6311141304347826
shortB218,0.6304347826086958
shortB506,0.6304347826086957
shortB148,0.6304347826086957
shortB534,0.6304347826086957
shortB104,0.6304347826086957
shortB293,0.6304347826086957
shortB453,0.6304347826086957
shortB151,0.6304347826086957
shortB303,0.6304347826086957
shortB41,0.6304347826086956
shortB466,0.6304347826086956
shortB482,0.6304347826086956
shortB87,0.6297554347826088
shortB464,0.6297554347826088
shortB384,0.6297554347826086
shortB321,0.6297554347826086
shortB529,0.6297554347826086
shortB56,0.6297554347826086
shortB416,0.6297554347826086
shortB241,0.6297554347826086
shortB343,0.6297554347826086
shortB423,0.6297554347826086
shortB47,0.6297554347826086
shortB292,0.6297554347826086
shortB82,0.6297554347826086
shortB352,0.6297554347826086
shortB249,0.6290760869565218
shortB57,0.6290760869565217
shortB322,0.6290760869565217
shortB105,0.6290760869565217
shortB212,0.6290760869565217
shortB517,0.6290760869565217
shortB528,0.6283967391304348
shortB32,0.6283967391304348
shortB63,0.6283967391304348
shortB263,0.6283967391304348
shortB169,0.6283967391304348
shortB284,0.6283967391304348
shortB95,0.6283967391304348
shortB334,0.6283967391304348
shortB70,0.6283967391304348
shortB66,0.6283967391304348
shortB233,0.6283967391304348
shortB325,0.6283967391304348
shortB324,0.6283967391304348
shortB349,0.6283967391304348
shortB268,0.6283967391304348
shortB267,0.6283967391304348
shortB277,0.6283967391304348
shortB391,0.6283967391304347
shortB201,0.6283967391304347
shortB407,0.6283967391304347
shortB317,0.6277173913043479
shortB373,0.6277173913043479
shortB38,0.6277173913043479
shortB217,0.6277173913043479
shortB378,0.6277173913043479
shortB49,0.6277173913043479
shortB326,0.6277173913043478
shortB122,0.6277173913043478
shortB337,0.6277173913043478
shortB121,0.627038043478261
shortB30,0.6270380434782609
shortB100,0.6270380434782609
shortB27,0.6270380434782609
shortB200,0.6270380434782609
shortB327,0.6270380434782609
shortB333,0.6270380434782609
shortB363,0.6270380434782609
shortB206,0.6270380434782608
shortB25,0.626358695652174
shortB13,0.626358695652174
shortB540,0.626358695652174
